Scenario,PayloadKB,Iteration,TextGen_us,Tokenize_us,DPU_Total_us,RDMA_us,GPU_Compute_us,GPU_Util_Pct,GPU_Mem_MB,DPU_CPU_Pct
B,2,4,55.70,0.00,55.70,29.25,43.72,0.0,108,0
B,2,5,55.55,0.00,55.55,32.44,44.51,0.0,108,0
B,2,6,53.41,0.00,53.41,30.79,43.23,0.0,144,0
B,2,7,53.71,0.00,53.71,32.22,44.30,0.0,108,0
B,2,8,54.35,0.00,54.35,32.74,44.34,0.0,258,0
B,2,9,55.27,0.00,55.27,28.87,43.74,0.0,108,0
B,2,10,55.74,0.00,55.74,38.30,47.98,0.0,240,0
A,4,warmup1,105.50,15.37,120.87,31.50,31.48,0.0,108,0
A,4,warmup2,105.78,15.37,121.15,31.35,35.80,0.0,108,0
A,4,warmup3,106.13,15.69,121.82,34.11,32.70,1.2,108,0
A,4,1,108.93,15.44,124.38,31.65,31.31,0.0,108,0
A,4,2,107.54,15.56,123.11,32.66,32.16,0.0,144,0
A,4,3,106.49,15.46,121.95,32.19,33.01,0.0,108,0
A,4,4,105.54,15.50,121.04,30.51,39.47,0.0,258,0
A,4,5,107.07,15.50,122.57,31.47,31.56,0.0,108,0
A,4,6,109.64,15.46,125.11,31.67,39.03,0.0,108,0
A,4,7,111.53,15.44,126.97,98.62,31.39,1.2,108,0
A,4,8,107.56,15.54,123.11,37.60,31.64,0.0,108,0
A,4,9,108.96,15.40,124.36,30.71,41.94,0.0,258,0
A,4,10,112.16,15.38,127.54,111.94,32.50,0.0,108,0
B,4,warmup1,105.66,0.00,105.66,29.83,55.49,0.0,145,0
B,4,warmup2,106.82,0.00,106.82,32.03,49.66,0.0,108,0
B,4,warmup3,108.29,0.00,108.29,32.98,45.68,0.0,108,0
B,4,1,108.40,0.00,108.40,33.25,46.14,0.0,145,0
B,4,2,110.62,0.00,110.62,33.17,47.30,0.0,108,0
B,4,3,105.65,0.00,105.65,32.00,52.91,0.0,258,0
B,4,4,106.30,0.00,106.30,30.79,48.42,0.0,108,0
B,4,5,106.51,0.00,106.51,30.56,50.46,0.0,108,0
B,4,6,109.89,0.00,109.89,32.23,46.74,0.0,109,0
B,4,7,108.67,0.00,108.67,29.72,53.02,0.0,144,0
B,4,8,108.31,0.00,108.31,33.05,45.97,0.0,108,0
B,4,9,107.19,0.00,107.19,32.80,49.29,0.0,108,0
B,4,10,110.83,0.00,110.83,79.03,49.33,0.0,162,0
A,8,warmup1,217.19,30.56,247.75,30.97,37.43,0.0,108,0
A,8,warmup2,217.68,30.44,248.12,31.22,49.84,0.0,108,0
A,8,warmup3,218.01,30.57,248.58,94.66,37.48,0.0,108,0
A,8,1,220.75,30.72,251.46,31.46,37.46,0.0,108,0
A,8,2,209.51,30.74,240.25,105.49,39.04,1.2,260,0
A,8,3,212.61,30.53,243.14,29.93,38.50,0.0,144,0
A,8,4,212.77,30.57,243.34,32.17,38.03,0.0,260,0
A,8,5,210.00,30.50,240.49,29.66,39.93,0.0,108,0
A,8,6,210.25,30.92,241.17,31.37,49.20,0.0,108,0
A,8,7,210.43,30.57,241.01,30.31,39.12,0.0,108,0
A,8,8,210.03,30.66,240.68,31.09,38.64,0.0,108,0
A,8,9,209.40,30.59,239.99,31.20,50.23,0.0,260,0
A,8,10,214.49,30.68,245.17,32.25,38.67,0.0,108,0
B,8,warmup1,215.19,0.00,215.19,30.48,65.87,0.0,108,0
B,8,warmup2,220.57,0.00,220.57,30.20,54.05,0.0,108,0
B,8,warmup3,219.96,0.00,219.96,29.44,50.93,0.0,108,0
B,8,1,212.46,0.00,212.46,34.20,52.50,0.0,108,0
B,8,2,210.94,0.00,210.94,99.34,52.04,0.0,108,0
B,8,3,220.20,0.00,220.20,29.71,61.50,0.0,260,0
B,8,4,215.54,0.00,215.54,31.47,51.87,0.0,108,0
B,8,5,211.83,0.00,211.83,29.57,52.83,0.0,108,0
B,8,6,219.79,0.00,219.79,97.52,51.82,0.0,108,0
B,8,7,214.95,0.00,214.95,34.21,51.92,0.0,108,0
B,8,8,215.49,0.00,215.49,30.34,52.63,0.0,144,0
B,8,9,214.92,0.00,214.92,33.24,50.96,0.0,108,0
B,8,10,211.28,0.00,211.28,28.64,53.04,0.0,240,0
A,16,warmup1,430.05,61.00,491.05,31.92,49.94,0.0,108,0
A,16,warmup2,417.92,60.94,478.87,89.47,50.26,0.0,108,0
A,16,warmup3,432.56,61.05,493.60,34.36,48.12,0.0,108,0
A,16,1,422.79,61.10,483.89,31.17,50.11,0.0,108,0
A,16,2,439.91,61.09,501.00,33.99,67.63,0.0,260,0
A,16,3,431.85,61.06,492.91,31.92,51.07,0.0,108,0
A,16,4,439.98,60.82,500.80,101.94,51.29,0.8,145,0
A,16,5,432.93,61.11,494.05,28.55,49.74,0.0,108,0
A,16,6,439.46,336.49,775.95,31.79,49.91,0.0,108,0
A,16,7,437.66,61.16,498.82,32.96,51.21,0.0,108,0
A,16,8,459.17,61.94,521.10,97.92,48.09,0.0,108,0
A,16,9,440.51,60.98,501.49,31.60,51.65,0.0,240,0
A,16,10,432.48,60.96,493.44,34.11,48.67,0.0,108,0
B,16,warmup1,436.76,0.00,436.76,30.35,68.28,0.0,108,0
B,16,warmup2,444.49,0.00,444.49,31.54,68.55,1.2,108,0
B,16,warmup3,419.97,0.00,419.97,32.89,82.14,0.0,144,0
B,16,1,434.66,0.00,434.66,36.07,62.01,0.0,108,0
B,16,2,420.79,0.00,420.79,31.66,64.05,0.0,108,0
B,16,3,438.04,0.00,438.04,32.41,68.47,0.0,240,0
B,16,4,436.83,0.00,436.83,32.67,65.45,0.0,108,0
B,16,5,420.11,0.00,420.11,32.68,68.58,0.0,108,0
B,16,6,437.80,0.00,437.80,32.86,63.33,0.0,108,0
B,16,7,419.77,0.00,419.77,31.48,63.94,0.0,108,0
B,16,8,437.40,0.00,437.40,31.41,83.02,0.0,260,0
B,16,9,424.52,0.00,424.52,30.63,65.10,0.0,145,0
B,16,10,419.96,0.00,419.96,32.86,81.28,0.0,260,0
A,32,warmup1,838.66,134.82,973.49,30.51,73.93,0.0,108,0
A,32,warmup2,884.92,150.29,1035.21,30.71,76.33,0.0,108,0
A,32,warmup3,840.39,135.34,975.74,38.35,72.73,0.0,108,0
A,32,1,873.42,134.66,1008.08,30.82,76.39,0.0,108,0
A,32,2,869.94,134.14,1004.08,30.45,73.60,0.0,240,0
A,32,3,868.65,134.75,1003.40,30.81,76.17,0.0,108,0
A,32,4,844.02,139.90,983.91,32.28,109.35,2.2,108,0
A,32,5,886.23,136.35,1022.58,32.00,75.47,0.0,108,0
A,32,6,850.87,133.87,984.74,29.84,110.71,0.0,108,0
A,32,7,839.14,136.27,975.41,30.54,74.59,1.2,108,0
A,32,8,841.23,135.02,976.25,31.63,75.37,0.0,108,0
A,32,9,838.05,135.52,973.58,30.44,74.25,1.2,264,0
A,32,10,896.09,133.44,1029.53,79.73,74.74,0.0,108,0
B,32,warmup1,877.96,0.00,877.96,34.16,122.73,0.0,108,0
B,32,warmup2,881.38,0.00,881.38,31.94,87.56,0.0,108,0
B,32,warmup3,861.72,0.00,861.72,33.01,88.16,0.0,108,0
B,32,1,848.47,0.00,848.47,31.53,87.10,0.0,144,0
B,32,2,879.52,0.00,879.52,32.98,87.51,0.0,108,0
B,32,3,868.97,0.00,868.97,30.05,122.03,0.0,263,0
B,32,4,878.38,0.00,878.38,30.37,91.65,0.0,108,0
B,32,5,839.10,0.00,839.10,29.88,121.10,0.0,108,0
B,32,6,876.80,0.00,876.80,31.16,92.32,1.2,108,0
B,32,7,844.62,0.00,844.62,30.81,86.76,0.0,108,0
B,32,8,880.62,0.00,880.62,106.28,134.57,0.0,263,0
B,32,9,844.24,0.00,844.24,32.65,75.08,0.0,108,0
B,32,10,852.53,0.00,852.53,32.08,123.70,0.0,144,0
A,64,warmup1,1746.58,276.13,2022.71,31.14,9.20,0.0,108,0
A,64,warmup2,1691.10,276.22,1967.32,31.01,6.36,0.0,108,0
A,64,warmup3,1699.61,281.54,1981.15,33.99,6.27,2.0,109,0
A,64,1,1778.76,275.21,2053.97,30.68,6.94,2.0,108,0
A,64,2,1782.26,275.32,2057.59,32.92,6.34,0.0,270,0
A,64,3,1774.85,272.93,2047.78,32.17,7.03,10.0,108,0
A,64,4,1775.68,274.40,2050.07,33.69,6.59,0.0,270,0
A,64,5,1707.57,277.45,1985.02,31.55,6.65,13.0,108,0
A,64,6,1777.32,273.86,2051.18,32.75,6.32,1.5,144,0
A,64,7,1750.61,274.98,2025.59,29.77,7.60,0.0,108,0
A,64,8,1761.26,277.19,2038.45,30.95,6.28,2.0,108,0
A,64,9,1774.56,273.14,2047.70,30.76,6.81,2.2,108,0
A,64,10,1693.27,273.40,1966.67,98.03,6.65,0.0,270,0
B,64,warmup1,1728.41,0.00,1728.41,30.02,7.45,8.8,108,0
B,64,warmup2,1692.47,0.00,1692.47,31.27,7.23,0.0,270,0
B,64,warmup3,1725.87,0.00,1725.87,101.20,13.00,0.0,108,0
B,64,1,1764.86,0.00,1764.86,35.04,7.43,0.0,270,0
B,64,2,1691.96,0.00,1691.96,30.74,17.93,0.0,216,0
B,64,3,1697.11,0.00,1697.11,32.28,7.50,0.0,108,0
B,64,4,1726.05,0.00,1726.05,29.16,12.59,4.8,108,0
B,64,5,1700.99,0.00,1700.99,32.03,7.55,0.0,270,0
B,64,6,1759.09,0.00,1759.09,30.62,7.64,3.5,108,0
B,64,7,1699.89,0.00,1699.89,39.78,7.37,0.0,270,0
B,64,8,1725.66,0.00,1725.66,31.69,15.36,2.0,108,0
B,64,9,1702.03,0.00,1702.03,31.55,7.25,0.0,270,0
B,64,10,1690.88,0.00,1690.88,100.91,7.18,0.0,108,0
A,128,warmup1,3418.93,586.90,4005.84,30.52,7.51,1.5,145,0
A,128,warmup2,3495.69,579.32,4075.01,31.57,6.37,10.5,108,0
A,128,warmup3,3493.39,576.08,4069.47,91.92,7.55,2.2,108,0
A,128,1,3377.84,574.97,3952.81,31.49,7.30,4.2,108,0
A,128,2,3562.86,569.92,4132.78,32.97,8.02,0.0,282,0
A,128,3,3387.60,582.37,3969.97,32.17,6.56,2.2,108,0
A,128,4,3364.82,559.83,3924.65,32.02,12.31,0.0,282,0
A,128,5,3386.17,586.69,3972.86,31.11,7.39,2.2,108,0
A,128,6,3371.25,562.18,3933.43,30.32,11.66,0.0,282,0
A,128,7,3477.85,588.30,4066.15,29.70,12.04,0.0,216,0
A,128,8,3425.61,584.59,4010.21,29.01,6.24,0.0,109,0
A,128,9,3562.08,568.92,4131.00,30.49,7.06,0.0,108,0
A,128,10,3511.31,576.71,4088.03,32.36,6.55,0.0,282,0
B,128,warmup1,3536.16,0.00,3536.16,30.76,7.32,3.0,108,0
B,128,warmup2,3498.44,0.00,3498.44,30.10,8.06,0.0,282,0
B,128,warmup3,3440.10,0.00,3440.10,31.24,8.45,3.0,108,0
B,128,1,3401.26,0.00,3401.26,31.90,9.35,0.0,282,0
B,128,2,3470.31,0.00,3470.31,31.26,7.62,10.0,108,0
B,128,3,3401.80,0.00,3401.80,31.61,8.30,8.8,108,0
B,128,4,3403.01,0.00,3403.01,32.34,7.83,19.8,280,0
B,128,5,3411.09,0.00,3411.09,103.30,7.32,2.2,108,0
B,128,6,3400.52,0.00,3400.52,31.21,9.22,2.0,108,0
B,128,7,3401.08,0.00,3401.08,31.75,22.78,0.0,282,0
B,128,8,3392.70,0.00,3392.70,32.12,12.46,1.0,108,0
B,128,9,3438.01,0.00,3438.01,32.73,8.11,0.0,282,0
B,128,10,3468.58,0.00,3468.58,33.23,8.24,0.0,108,0
