Scenario,PayloadKB,Run,TextGen_us,Tokenize_us,DPU_Total_us,RDMA_us,GPU_Compute_us
A,64,3,1683.08,3638.38,5321.46,31.05,9.18
B,64,3,1683.80,0.00,1683.80,30.44,6.20
A,64,4,1784.20,3583.82,5368.02,32.96,5.85
B,64,4,1799.53,0.00,1799.53,39.79,7.47
A,64,5,1687.68,3738.56,5426.24,35.32,5.98
B,64,5,1741.06,0.00,1741.06,31.64,6.05
A,64,6,1704.05,3642.44,5346.49,36.31,6.03
B,64,6,1738.82,0.00,1738.82,35.57,6.40
A,64,7,1730.18,3573.95,5304.14,34.33,7.40
B,64,7,1676.43,0.00,1676.43,32.49,6.23
A,64,8,1783.59,3651.91,5435.50,33.64,6.55
B,64,8,1814.74,0.00,1814.74,32.58,6.04
A,64,9,1781.18,3597.60,5378.78,32.65,7.64
B,64,9,1684.46,0.00,1684.46,33.28,6.76
A,64,10,1686.22,3848.70,5534.92,36.13,5.98
B,64,10,1804.74,0.00,1804.74,32.85,6.08
A,128,1,3514.32,7212.18,10726.50,90.27,6.38
B,128,1,3570.81,0.00,3570.81,30.95,6.20
A,128,2,3406.73,7030.72,10437.45,31.35,5.56
B,128,2,3374.39,0.00,3374.39,33.94,6.38
A,128,3,3411.96,7229.00,10640.96,33.89,8.47
B,128,3,3369.48,0.00,3369.48,38.51,6.07
A,128,4,3388.36,7282.10,10670.46,36.91,5.99
B,128,4,3398.24,0.00,3398.24,32.18,14.24
A,128,5,3554.41,6962.43,10516.84,36.77,5.83
B,128,5,3566.20,0.00,3566.20,32.67,6.04
A,128,6,3377.88,7308.37,10686.25,36.15,7.11
B,128,6,3401.31,0.00,3401.31,30.92,6.11
A,128,7,3428.38,7209.46,10637.83,34.54,6.54
B,128,7,3502.89,0.00,3502.89,36.26,6.46
A,128,8,3470.48,6992.21,10462.69,33.56,6.97
B,128,8,3400.21,0.00,3400.21,34.47,6.07
A,128,9,3461.27,7524.55,10985.82,34.83,5.80
B,128,9,3485.82,0.00,3485.82,32.80,6.20
A,128,10,3383.32,7372.65,10755.97,32.55,5.81
B,128,10,3505.39,0.00,3505.39,31.94,6.29
